,speed,dist,rssi_strongest,Throughput tcp
2378,0.0,35,-70.0,30936400.0
2379,0.0,14,-80.0,31006900.0
2380,0.0,20,-72.0,31011600.0
2381,0.0,14,-75.0,31013600.0
2382,0.0,42,-102.0,31011600.0
2383,0.0,31,-71.0,31011600.0
2384,0.0,46,-92.0,31011600.0
2385,0.0,3,-74.0,31011600.0
2386,0.0,24,-71.0,31011600.0
2387,0.0,24,-66.0,31011600.0
2388,0.0,37,-95.0,31013600.0
2389,0.0,15,-98.0,31011600.0
2390,0.0,23,-108.0,31011600.0
2391,0.0,37,-73.0,31011600.0
2392,0.0,38,-91.0,31011600.0
2393,0.0,31,-95.0,31011600.0
2394,0.0,14,-96.0,30938400.0
2395,0.0,3,-108.0,30959900.0
2396,0.0,24,-69.0,30936400.0
2397,0.0,49,-66.0,30936400.0
2398,0.0,44,-99.0,30936400.0
2399,0.0,30,-110.0,30938400.0
2400,0.0,42,-109.0,30936400.0
2401,0.0,42,-67.0,30936400.0
2402,0.0,48,-88.0,30936400.0
2403,0.0,45,-102.0,30938400.0
2404,0.0,24,-81.0,30936400.0
2405,0.0,10,-84.0,30936400.0
2406,0.0,23,-105.0,30936400.0
2407,0.0,23,-87.0,30936400.0
2408,0.0,28,-66.0,30938400.0
2409,0.0,27,-103.0,30936400.0
2410,0.0,45,-78.0,30936400.0
2411,0.0,1,-84.0,30936400.0
2412,0.0,26,-79.0,30938400.0
2413,0.0,22,-105.0,30936400.0
2414,0.0,35,-104.0,30936400.0
2415,0.0,49,-72.0,30936400.0
2416,0.0,3,-69.0,31006900.0
2417,0.0,26,-73.0,31016400.0
2418,0.0,33,-106.0,31008900.0
2419,0.0,49,-82.0,31011600.0
2420,0.0,21,-70.0,31011600.0
2421,0.0,7,-72.0,31011600.0
2422,0.0,7,-99.0,31011600.0
2423,0.0,37,-105.0,31011600.0
2424,0.0,10,-69.0,31013600.0
2425,0.0,7,-69.0,31011600.0
2426,0.0,4,-72.0,31011600.0
2427,0.0,36,-89.0,31011600.0
2428,0.0,9,-89.0,31011600.0
2429,0.0,24,-78.0,31011600.0
2430,0.0,11,-93.0,31008900.0
2431,0.0,30,-101.0,30941100.0
2432,0.0,37,-97.0,30959900.0
2433,0.0,49,-70.0,30936400.0
2434,0.0,39,-95.0,30936400.0
2435,0.0,43,-85.0,30938400.0
2436,0.0,20,-109.0,30936400.0
2437,0.0,36,-91.0,30936400.0
2438,0.0,11,-93.0,30936400.0
2439,0.0,21,-87.0,30936400.0
2440,0.0,11,-87.0,30938400.0
2441,0.0,41,-71.0,30936400.0
2442,0.0,35,-75.0,30936400.0
2443,0.0,4,-105.0,30936400.0
2444,0.0,6,-99.0,30938400.0
2445,0.0,28,-73.0,30936400.0
2446,0.0,22,-98.0,30936400.0
2447,0.0,5,-87.0,30936400.0
2448,0.0,41,-109.0,30936400.0
2449,0.0,9,-71.0,30938400.0
2450,0.0,12,-83.0,30936400.0
2451,0.0,34,-79.0,30936400.0
2452,0.0,21,-92.0,30936400.0
2453,0.0,24,-71.0,31011600.0
2454,0.0,21,-76.0,31008900.0
2455,0.0,15,-83.0,31011600.0
2456,0.0,16,-102.0,31011600.0
2457,0.0,6,-66.0,31011600.0
2458,0.0,17,-74.0,31011600.0
2459,0.0,5,-78.0,31011600.0
2460,0.0,14,-88.0,31013600.0
2461,0.0,27,-96.0,31011600.0
2462,0.0,48,-95.0,31011600.0
2463,0.0,32,-104.0,31011600.0
2464,0.0,30,-93.0,28432.0
2465,0.0,32,-72.0,4461780.0
2466,0.0,5,-104.0,4322160.0
2467,0.0,40,-104.0,255632.0
2468,0.0,33,-86.0,2392320.0
2469,0.0,21,-77.0,255632.0
2470,0.0,15,-108.0,3678720.0
2471,0.0,20,-101.0,255632.0
2472,0.0,10,-99.0,3659310.0
2473,0.0,11,-98.0,255632.0
2474,0.0,25,-68.0,2674710.0
2475,0.0,23,-75.0,255632.0
